img_a,img_b,distance,relation,hash_method,hash_size
thumb_256/1149259195574037.jpg,thumb_256/301709351672860.jpg,0,exact,phash,16
thumb_256/1149259195574037.jpg,thumb_256/4403689266310587.jpg,0,exact,phash,16
thumb_256/201842085107824.jpg,thumb_256/878956852687613.jpg,0,exact,phash,16
thumb_256/244005650834822.jpg,thumb_256/270144761505520.jpg,0,exact,phash,16
thumb_256/244005650834822.jpg,thumb_256/307424790939740.jpg,0,exact,phash,16
thumb_256/270144761505520.jpg,thumb_256/307424790939740.jpg,0,exact,phash,16
thumb_256/301709351672860.jpg,thumb_256/4403689266310587.jpg,0,exact,phash,16
thumb_256/1149259195574037.jpg,thumb_256/522002192501922.jpg,2,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/319606282937464.jpg,2,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/522002192501922.jpg,2,similar,phash,16
thumb_256/244005650834822.jpg,thumb_256/310266827281490.jpg,2,similar,phash,16
thumb_256/244005650834822.jpg,thumb_256/3238465906384267.jpg,2,similar,phash,16
thumb_256/244005650834822.jpg,thumb_256/324718125672981.jpg,2,similar,phash,16
thumb_256/244005650834822.jpg,thumb_256/395184544865661.jpg,2,similar,phash,16
thumb_256/270144761505520.jpg,thumb_256/310266827281490.jpg,2,similar,phash,16
thumb_256/270144761505520.jpg,thumb_256/3238465906384267.jpg,2,similar,phash,16
thumb_256/270144761505520.jpg,thumb_256/324718125672981.jpg,2,similar,phash,16
thumb_256/270144761505520.jpg,thumb_256/395184544865661.jpg,2,similar,phash,16
thumb_256/2859458157652884.jpg,thumb_256/292786949139160.jpg,2,similar,phash,16
thumb_256/2859458157652884.jpg,thumb_256/630117255053150.jpg,2,similar,phash,16
thumb_256/2885522925020407.jpg,thumb_256/876205573109155.jpg,2,similar,phash,16
thumb_256/292786949139160.jpg,thumb_256/479596743278063.jpg,2,similar,phash,16
thumb_256/292786949139160.jpg,thumb_256/630117255053150.jpg,2,similar,phash,16
thumb_256/2932516903690894.jpg,thumb_256/773745143513976.jpg,2,similar,phash,16
thumb_256/301709351672860.jpg,thumb_256/522002192501922.jpg,2,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/310266827281490.jpg,2,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/3238465906384267.jpg,2,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/324718125672981.jpg,2,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/395184544865661.jpg,2,similar,phash,16
thumb_256/310266827281490.jpg,thumb_256/3238465906384267.jpg,2,similar,phash,16
thumb_256/310266827281490.jpg,thumb_256/324718125672981.jpg,2,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/878956852687613.jpg,2,similar,phash,16
thumb_256/3238465906384267.jpg,thumb_256/324718125672981.jpg,2,similar,phash,16
thumb_256/324718125672981.jpg,thumb_256/395184544865661.jpg,2,similar,phash,16
thumb_256/4380162912015481.jpg,thumb_256/773745143513976.jpg,2,similar,phash,16
thumb_256/4403689266310587.jpg,thumb_256/522002192501922.jpg,2,similar,phash,16
thumb_256/479596743278063.jpg,thumb_256/630117255053150.jpg,2,similar,phash,16
thumb_256/522002192501922.jpg,thumb_256/878956852687613.jpg,2,similar,phash,16
thumb_256/1149259195574037.jpg,thumb_256/201842085107824.jpg,4,similar,phash,16
thumb_256/1149259195574037.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/1149259195574037.jpg,thumb_256/957412661743532.jpg,4,similar,phash,16
thumb_256/1441511256220553.jpg,thumb_256/2859458157652884.jpg,4,similar,phash,16
thumb_256/1441511256220553.jpg,thumb_256/876205573109155.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/244005650834822.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/270144761505520.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/2932516903690894.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/301709351672860.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/307424790939740.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/3238465906384267.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/395184544865661.jpg,4,similar,phash,16
thumb_256/201842085107824.jpg,thumb_256/4380162912015481.jpg,4,similar,phash,16
